HITId,WorkerId,WorkTimeInSeconds,InstanceIds
043e4bd43423134e5d2a655a7645a5675cce570f,4c80a3241734732c43a3ce6570d6a927d4f6e124,558,"n02963159_374.JPEG, n03838899_225.JPEG, n02281406_76.JPEG, n02769748_107.JPEG, n04133789_441.JPEG, n02281406_10.JPEG, n07873807_53.JPEG, n09193705_185.JPEG, n03706229_460.JPEG, n04456115_122.JPEG"
8f0318950ddc67527d38ac6b98828ea85702f18c,464b3e0d3f985087c43894054d844855b7b82747,211,"n02963159_89.JPEG, n02769748_181.JPEG, n02769748_332.JPEG, n09193705_43.JPEG, n04133789_12.JPEG, n02769748_394.JPEG, n07873807_142.JPEG, n02963159_369.JPEG, n07873807_311.JPEG, n04456115_186.JPEG"
8f0318950ddc67527d38ac6b98828ea85702f18c,a3eeff0545267217120b7be52754038ae588fa18,376,"n02963159_89.JPEG, n02769748_181.JPEG, n02769748_332.JPEG, n09193705_43.JPEG, n04133789_12.JPEG, n02769748_394.JPEG, n07873807_142.JPEG, n02963159_369.JPEG, n07873807_311.JPEG, n04456115_186.JPEG"
8f0318950ddc67527d38ac6b98828ea85702f18c,973a673eb5af3db071f47ff9577521d8765d2675,209,"n02963159_89.JPEG, n02769748_181.JPEG, n02769748_332.JPEG, n09193705_43.JPEG, n04133789_12.JPEG, n02769748_394.JPEG, n07873807_142.JPEG, n02963159_369.JPEG, n07873807_311.JPEG, n04456115_186.JPEG"
1c238ad39fcba5b8ebc4c6b26e01972aadddf321,fa328c568c43b51be2faa9e6417a994baf4161c8,191,"n04456115_305.JPEG, n03706229_363.JPEG, n03617480_456.JPEG, n02281406_394.JPEG, n09193705_255.JPEG, n02281406_463.JPEG, n07873807_286.JPEG, n04133789_396.JPEG, n02769748_471.JPEG, n07873807_168.JPEG"
1c238ad39fcba5b8ebc4c6b26e01972aadddf321,3a4efdd03bf43305937b7c42699389da010990b8,214,"n04456115_305.JPEG, n03706229_363.JPEG, n03617480_456.JPEG, n02281406_394.JPEG, n09193705_255.JPEG, n02281406_463.JPEG, n07873807_286.JPEG, n04133789_396.JPEG, n02769748_471.JPEG, n07873807_168.JPEG"
1c238ad39fcba5b8ebc4c6b26e01972aadddf321,b9f7c6bf5bb275eb4dfce593b1c43c9fd25c4124,487,"n04456115_305.JPEG, n03706229_363.JPEG, n03617480_456.JPEG, n02281406_394.JPEG, n09193705_255.JPEG, n02281406_463.JPEG, n07873807_286.JPEG, n04133789_396.JPEG, n02769748_471.JPEG, n07873807_168.JPEG"
820e78aa8090a56227235807434473abdb755e86,bdf006624e851095805f741c6730e8f0219ca242,257,"n03838899_60.JPEG, n02963159_370.JPEG, n03706229_107.JPEG, n09193705_394.JPEG, n07873807_101.JPEG, n03617480_486.JPEG, n03617480_141.JPEG, n09193705_86.JPEG, n07873807_113.JPEG, n03706229_21.JPEG"
820e78aa8090a56227235807434473abdb755e86,1b4565ae213fc50829133b8d126cf2de0af09213,249,"n03838899_60.JPEG, n02963159_370.JPEG, n03706229_107.JPEG, n09193705_394.JPEG, n07873807_101.JPEG, n03617480_486.JPEG, n03617480_141.JPEG, n09193705_86.JPEG, n07873807_113.JPEG, n03706229_21.JPEG"
820e78aa8090a56227235807434473abdb755e86,b1cfffe99bb83bcff4be415777f7daea2db9532a,53,"n03838899_60.JPEG, n02963159_370.JPEG, n03706229_107.JPEG, n09193705_394.JPEG, n07873807_101.JPEG, n03617480_486.JPEG, n03617480_141.JPEG, n09193705_86.JPEG, n07873807_113.JPEG, n03706229_21.JPEG"
d7c5787eee31ed84c27d32f36ae8a6717f2bedb6,af4909e12a8042922eb26fd20fd9f65ad9c39d89,207,"n03706229_250.JPEG, n02769748_245.JPEG, n09193705_283.JPEG, n02769748_117.JPEG, n04456115_447.JPEG, n03706229_494.JPEG, n02963159_349.JPEG, n02769748_152.JPEG, n04456115_390.JPEG, n02281406_441.JPEG"
d7c5787eee31ed84c27d32f36ae8a6717f2bedb6,cff58667749d30253b56a9e7354e7f45f80deae0,179,"n03706229_250.JPEG, n02769748_245.JPEG, n09193705_283.JPEG, n02769748_117.JPEG, n04456115_447.JPEG, n03706229_494.JPEG, n02963159_349.JPEG, n02769748_152.JPEG, n04456115_390.JPEG, n02281406_441.JPEG"
d7c5787eee31ed84c27d32f36ae8a6717f2bedb6,a3eeff0545267217120b7be52754038ae588fa18,344,"n03706229_250.JPEG, n02769748_245.JPEG, n09193705_283.JPEG, n02769748_117.JPEG, n04456115_447.JPEG, n03706229_494.JPEG, n02963159_349.JPEG, n02769748_152.JPEG, n04456115_390.JPEG, n02281406_441.JPEG"
b41bb5e1235544329fc862b0aa46d02a7b49fbfd,464b3e0d3f985087c43894054d844855b7b82747,114,"n02769748_240.JPEG, n03838899_447.JPEG, n03838899_486.JPEG, n09193705_6.JPEG, n09193705_371.JPEG, n02281406_18.JPEG, n04456115_429.JPEG, n07873807_179.JPEG, n03706229_448.JPEG, n04456115_211.JPEG"
b41bb5e1235544329fc862b0aa46d02a7b49fbfd,e0c98cfd332149cf03e541680ed7459eb52d98d1,243,"n02769748_240.JPEG, n03838899_447.JPEG, n03838899_486.JPEG, n09193705_6.JPEG, n09193705_371.JPEG, n02281406_18.JPEG, n04456115_429.JPEG, n07873807_179.JPEG, n03706229_448.JPEG, n04456115_211.JPEG"
b41bb5e1235544329fc862b0aa46d02a7b49fbfd,b702945d8c48e3710224ee1758eebf88511fa99a,160,"n02769748_240.JPEG, n03838899_447.JPEG, n03838899_486.JPEG, n09193705_6.JPEG, n09193705_371.JPEG, n02281406_18.JPEG, n04456115_429.JPEG, n07873807_179.JPEG, n03706229_448.JPEG, n04456115_211.JPEG"
16e0a24baa6cc0584fe80afb8f7f03604052d95c,535d46c5236320405c7e5b81c817881b4eea9f5c,120,"n02281406_482.JPEG, n03617480_260.JPEG, n04133789_110.JPEG, n02963159_336.JPEG, n09193705_294.JPEG, n09193705_5.JPEG, n03706229_112.JPEG, n04456115_130.JPEG, n04133789_388.JPEG, n03706229_144.JPEG"
16e0a24baa6cc0584fe80afb8f7f03604052d95c,2a8a4898f1f45ea85fce487fb3b58372b9ed3b35,136,"n02281406_482.JPEG, n03617480_260.JPEG, n04133789_110.JPEG, n02963159_336.JPEG, n09193705_294.JPEG, n09193705_5.JPEG, n03706229_112.JPEG, n04456115_130.JPEG, n04133789_388.JPEG, n03706229_144.JPEG"
16e0a24baa6cc0584fe80afb8f7f03604052d95c,d0105275624d4480a82db0eeb2bc3eda8092c94e,280,"n02281406_482.JPEG, n03617480_260.JPEG, n04133789_110.JPEG, n02963159_336.JPEG, n09193705_294.JPEG, n09193705_5.JPEG, n03706229_112.JPEG, n04456115_130.JPEG, n04133789_388.JPEG, n03706229_144.JPEG"
a84b1c2747d0c378588ec5bb1af11a3079b1988c,9e8cfaa3ee823592df8eab38ea5be3d99431331f,21,"n02281406_25.JPEG, n02281406_419.JPEG, n04456115_318.JPEG, n02281406_80.JPEG, n03706229_350.JPEG, n02963159_160.JPEG, n03617480_170.JPEG, n04133789_330.JPEG, n03706229_300.JPEG, n04456115_494.JPEG"
a84b1c2747d0c378588ec5bb1af11a3079b1988c,bdf006624e851095805f741c6730e8f0219ca242,155,"n02281406_25.JPEG, n02281406_419.JPEG, n04456115_318.JPEG, n02281406_80.JPEG, n03706229_350.JPEG, n02963159_160.JPEG, n03617480_170.JPEG, n04133789_330.JPEG, n03706229_300.JPEG, n04456115_494.JPEG"
a84b1c2747d0c378588ec5bb1af11a3079b1988c,cff58667749d30253b56a9e7354e7f45f80deae0,249,"n02281406_25.JPEG, n02281406_419.JPEG, n04456115_318.JPEG, n02281406_80.JPEG, n03706229_350.JPEG, n02963159_160.JPEG, n03617480_170.JPEG, n04133789_330.JPEG, n03706229_300.JPEG, n04456115_494.JPEG"
11ff17605dd9dd5677fd31b1496eeb7b4dbea071,b68dc572a05c461054abcaf7ec25393637f9417c,522,"n04133789_291.JPEG, n03838899_113.JPEG, n03617480_350.JPEG, n03838899_207.JPEG, n09193705_340.JPEG, n04133789_415.JPEG, n02769748_64.JPEG, n02769748_143.JPEG, n02281406_51.JPEG, n02963159_361.JPEG"
11ff17605dd9dd5677fd31b1496eeb7b4dbea071,448f60985fef17a03a71f69fac04168986d69f42,104,"n04133789_291.JPEG, n03838899_113.JPEG, n03617480_350.JPEG, n03838899_207.JPEG, n09193705_340.JPEG, n04133789_415.JPEG, n02769748_64.JPEG, n02769748_143.JPEG, n02281406_51.JPEG, n02963159_361.JPEG"
11ff17605dd9dd5677fd31b1496eeb7b4dbea071,4f5e043e00217a762be7360314309ee616abdda8,319,"n04133789_291.JPEG, n03838899_113.JPEG, n03617480_350.JPEG, n03838899_207.JPEG, n09193705_340.JPEG, n04133789_415.JPEG, n02769748_64.JPEG, n02769748_143.JPEG, n02281406_51.JPEG, n02963159_361.JPEG"
bf902414bdfde3c3d2bde723bb2b6ccebfe62f79,49355f049649eed0981822ff26205f1b89bf8ab7,268,"n03838899_418.JPEG, n03838899_98.JPEG, n09193705_397.JPEG, n02769748_213.JPEG, n04133789_223.JPEG, n09193705_206.JPEG, n07873807_58.JPEG, n04133789_337.JPEG, n02963159_132.JPEG, n04133789_22.JPEG"
bf902414bdfde3c3d2bde723bb2b6ccebfe62f79,c67675ed3c5a8a995e383f841ea3ca0cd803716a,178,"n03838899_418.JPEG, n03838899_98.JPEG, n09193705_397.JPEG, n02769748_213.JPEG, n04133789_223.JPEG, n09193705_206.JPEG, n07873807_58.JPEG, n04133789_337.JPEG, n02963159_132.JPEG, n04133789_22.JPEG"
bf902414bdfde3c3d2bde723bb2b6ccebfe62f79,4f5e043e00217a762be7360314309ee616abdda8,332,"n03838899_418.JPEG, n03838899_98.JPEG, n09193705_397.JPEG, n02769748_213.JPEG, n04133789_223.JPEG, n09193705_206.JPEG, n07873807_58.JPEG, n04133789_337.JPEG, n02963159_132.JPEG, n04133789_22.JPEG"
081f32089523b64dfb42ca013824e347ba907d53,0e3f86af2fbe7a806e49490f27d8a8429039cc9c,426,"n03617480_249.JPEG, n09193705_48.JPEG, n03706229_211.JPEG, n04133789_403.JPEG, n03838899_322.JPEG, n02281406_190.JPEG, n03838899_20.JPEG, n07873807_1.JPEG, n02281406_282.JPEG, n09193705_415.JPEG"
081f32089523b64dfb42ca013824e347ba907d53,29c35a84f82baff1bb386c04ce6a6c994ecdcb67,531,"n03617480_249.JPEG, n09193705_48.JPEG, n03706229_211.JPEG, n04133789_403.JPEG, n03838899_322.JPEG, n02281406_190.JPEG, n03838899_20.JPEG, n07873807_1.JPEG, n02281406_282.JPEG, n09193705_415.JPEG"
081f32089523b64dfb42ca013824e347ba907d53,b4e816eb4cc6c22e9e83006c00dde597a3f7b6e9,526,"n03617480_249.JPEG, n09193705_48.JPEG, n03706229_211.JPEG, n04133789_403.JPEG, n03838899_322.JPEG, n02281406_190.JPEG, n03838899_20.JPEG, n07873807_1.JPEG, n02281406_282.JPEG, n09193705_415.JPEG"
5e377a8d86b5c4191e3a28a9fa87ebeebf5648dc,abd9821d02128dee2c95d193263a0dcccf5ab8f7,116,"n03617480_310.JPEG, n07873807_217.JPEG, n03706229_198.JPEG, n03706229_156.JPEG, n02281406_425.JPEG, n07873807_485.JPEG, n02963159_429.JPEG, n03838899_157.JPEG, n02769748_452.JPEG, n04456115_351.JPEG"
5e377a8d86b5c4191e3a28a9fa87ebeebf5648dc,66aab639b5c504aa8024e2b381ca9edf161c5b58,169,"n03617480_310.JPEG, n07873807_217.JPEG, n03706229_198.JPEG, n03706229_156.JPEG, n02281406_425.JPEG, n07873807_485.JPEG, n02963159_429.JPEG, n03838899_157.JPEG, n02769748_452.JPEG, n04456115_351.JPEG"
5e377a8d86b5c4191e3a28a9fa87ebeebf5648dc,c20b9a16dc76249d3ede03a217da69c9d89fb770,148,"n03617480_310.JPEG, n07873807_217.JPEG, n03706229_198.JPEG, n03706229_156.JPEG, n02281406_425.JPEG, n07873807_485.JPEG, n02963159_429.JPEG, n03838899_157.JPEG, n02769748_452.JPEG, n04456115_351.JPEG"
f357baff686bcea4ce14326c504f0c312f770f46,767ec0163dde0a7b0ecf7251acd5c6090874e35d,504,"n03706229_456.JPEG, n02281406_292.JPEG, n07873807_467.JPEG, n03617480_145.JPEG, n03617480_336.JPEG, n09193705_104.JPEG, n04133789_55.JPEG, n04456115_195.JPEG, n03617480_118.JPEG, n02769748_470.JPEG"
f357baff686bcea4ce14326c504f0c312f770f46,263b4902d4bd7a6cd38c61a77932c56b0391bab9,498,"n03706229_456.JPEG, n02281406_292.JPEG, n07873807_467.JPEG, n03617480_145.JPEG, n03617480_336.JPEG, n09193705_104.JPEG, n04133789_55.JPEG, n04456115_195.JPEG, n03617480_118.JPEG, n02769748_470.JPEG"
f357baff686bcea4ce14326c504f0c312f770f46,c426ffe41389a40ba68a3ad0416131a1d09ff0a7,337,"n03706229_456.JPEG, n02281406_292.JPEG, n07873807_467.JPEG, n03617480_145.JPEG, n03617480_336.JPEG, n09193705_104.JPEG, n04133789_55.JPEG, n04456115_195.JPEG, n03617480_118.JPEG, n02769748_470.JPEG"
ae997c91e15c4d8278b44530c063a07393634b66,ae8f5d2d4a2f2400440d5e7370c4b6c47a96bd42,183,"n02281406_478.JPEG, n03706229_117.JPEG, n02281406_168.JPEG, n09193705_179.JPEG, n03617480_268.JPEG, n03706229_406.JPEG, n04133789_421.JPEG, n04456115_298.JPEG, n07873807_226.JPEG, n03838899_254.JPEG"
ae997c91e15c4d8278b44530c063a07393634b66,f360538807bb173ae6f3a3cadf220c1b5f1b0e0f,356,"n02281406_478.JPEG, n03706229_117.JPEG, n02281406_168.JPEG, n09193705_179.JPEG, n03617480_268.JPEG, n03706229_406.JPEG, n04133789_421.JPEG, n04456115_298.JPEG, n07873807_226.JPEG, n03838899_254.JPEG"
ae997c91e15c4d8278b44530c063a07393634b66,7383c1a48c90f95c150ab679c0f4ffe9cb2276a3,520,"n02281406_478.JPEG, n03706229_117.JPEG, n02281406_168.JPEG, n09193705_179.JPEG, n03617480_268.JPEG, n03706229_406.JPEG, n04133789_421.JPEG, n04456115_298.JPEG, n07873807_226.JPEG, n03838899_254.JPEG"
37542ab0eda1734baae5dc02951677f34ee4ecc6,bdf006624e851095805f741c6730e8f0219ca242,232,"n07873807_155.JPEG, n04133789_27.JPEG, n02281406_119.JPEG, n03706229_152.JPEG, n09193705_289.JPEG, n04456115_316.JPEG, n03706229_335.JPEG, n04133789_68.JPEG, n02963159_467.JPEG, n03838899_147.JPEG"
37542ab0eda1734baae5dc02951677f34ee4ecc6,21e4db9106b2436154ee0b057e4863bbe80faacd,255,"n07873807_155.JPEG, n04133789_27.JPEG, n02281406_119.JPEG, n03706229_152.JPEG, n09193705_289.JPEG, n04456115_316.JPEG, n03706229_335.JPEG, n04133789_68.JPEG, n02963159_467.JPEG, n03838899_147.JPEG"
37542ab0eda1734baae5dc02951677f34ee4ecc6,bbcf94076464c3b626d949dcdb41df79446d7c84,400,"n07873807_155.JPEG, n04133789_27.JPEG, n02281406_119.JPEG, n03706229_152.JPEG, n09193705_289.JPEG, n04456115_316.JPEG, n03706229_335.JPEG, n04133789_68.JPEG, n02963159_467.JPEG, n03838899_147.JPEG"
3b26df0dc36628e7ec9c373ef54f4f5d7c19c089,42e30be7432ca6f15a2b62a3470500a419665611,156,"n03838899_442.JPEG, n04456115_115.JPEG, n04456115_329.JPEG, n03838899_362.JPEG, n02963159_86.JPEG, n09193705_322.JPEG, n04456115_326.JPEG, n09193705_305.JPEG, n02963159_46.JPEG, n02281406_376.JPEG"
3b26df0dc36628e7ec9c373ef54f4f5d7c19c089,d9d64a57fc3e9594cc8737def28058074c8175a6,483,"n03838899_442.JPEG, n04456115_115.JPEG, n04456115_329.JPEG, n03838899_362.JPEG, n02963159_86.JPEG, n09193705_322.JPEG, n04456115_326.JPEG, n09193705_305.JPEG, n02963159_46.JPEG, n02281406_376.JPEG"
3b26df0dc36628e7ec9c373ef54f4f5d7c19c089,7cd176f244fa7950ec77e0a2453e084c48091f16,282,"n03838899_442.JPEG, n04456115_115.JPEG, n04456115_329.JPEG, n03838899_362.JPEG, n02963159_86.JPEG, n09193705_322.JPEG, n04456115_326.JPEG, n09193705_305.JPEG, n02963159_46.JPEG, n02281406_376.JPEG"
8c5d67b73bdbbb18510883553ef14c5cec341000,9b4b4e88c72ab8842bbb51f3748b3674f9ec4f27,176,"n07873807_20.JPEG, n04133789_130.JPEG, n04456115_50.JPEG, n02963159_318.JPEG, n04133789_432.JPEG, n09193705_285.JPEG, n09193705_196.JPEG, n03617480_224.JPEG, n02963159_242.JPEG, n02281406_432.JPEG"
8c5d67b73bdbbb18510883553ef14c5cec341000,95bd2bd4e45851e557ed71dbab8c6e2aa0e7522b,368,"n07873807_20.JPEG, n04133789_130.JPEG, n04456115_50.JPEG, n02963159_318.JPEG, n04133789_432.JPEG, n09193705_285.JPEG, n09193705_196.JPEG, n03617480_224.JPEG, n02963159_242.JPEG, n02281406_432.JPEG"
8c5d67b73bdbbb18510883553ef14c5cec341000,42e30be7432ca6f15a2b62a3470500a419665611,516,"n07873807_20.JPEG, n04133789_130.JPEG, n04456115_50.JPEG, n02963159_318.JPEG, n04133789_432.JPEG, n09193705_285.JPEG, n09193705_196.JPEG, n03617480_224.JPEG, n02963159_242.JPEG, n02281406_432.JPEG"
e202dd28f24e83545b948abae1a98b82dfe2512b,b11bc9b71d4e7315f9dd2dd87adb7293059356fe,34,"n03838899_304.JPEG, n09193705_398.JPEG, n04456115_283.JPEG, n04133789_254.JPEG, n02769748_0.JPEG, n02963159_445.JPEG, n03617480_86.JPEG, n07873807_283.JPEG, n04456115_48.JPEG, n04456115_13.JPEG"
e202dd28f24e83545b948abae1a98b82dfe2512b,726a649884bcc67a4f374e4534d7ebdfa3734040,119,"n03838899_304.JPEG, n09193705_398.JPEG, n04456115_283.JPEG, n04133789_254.JPEG, n02769748_0.JPEG, n02963159_445.JPEG, n03617480_86.JPEG, n07873807_283.JPEG, n04456115_48.JPEG, n04456115_13.JPEG"
e202dd28f24e83545b948abae1a98b82dfe2512b,0e3f86af2fbe7a806e49490f27d8a8429039cc9c,514,"n03838899_304.JPEG, n09193705_398.JPEG, n04456115_283.JPEG, n04133789_254.JPEG, n02769748_0.JPEG, n02963159_445.JPEG, n03617480_86.JPEG, n07873807_283.JPEG, n04456115_48.JPEG, n04456115_13.JPEG"
1b92745f8610c51e5e65e667cabd7817f41c28dc,e0c98cfd332149cf03e541680ed7459eb52d98d1,324,"n03706229_449.JPEG, n02281406_295.JPEG, n02281406_365.JPEG, n02281406_360.JPEG, n04133789_87.JPEG, n02963159_352.JPEG, n04456115_167.JPEG, n03838899_268.JPEG, n09193705_495.JPEG, n03838899_269.JPEG"
1b92745f8610c51e5e65e667cabd7817f41c28dc,3b1a79902496e1150995875634003272c6de7d7d,557,"n03706229_449.JPEG, n02281406_295.JPEG, n02281406_365.JPEG, n02281406_360.JPEG, n04133789_87.JPEG, n02963159_352.JPEG, n04456115_167.JPEG, n03838899_268.JPEG, n09193705_495.JPEG, n03838899_269.JPEG"
1b92745f8610c51e5e65e667cabd7817f41c28dc,496feea80606e77774f4b6740b86f6d472ee0303,302,"n03706229_449.JPEG, n02281406_295.JPEG, n02281406_365.JPEG, n02281406_360.JPEG, n04133789_87.JPEG, n02963159_352.JPEG, n04456115_167.JPEG, n03838899_268.JPEG, n09193705_495.JPEG, n03838899_269.JPEG"
3cc237a4b700cc03974954b2971ebd6441cc932d,9e5120a743900929313522543ff9bc9bae30ee31,77,"n09193705_339.JPEG, n03617480_149.JPEG, n03838899_499.JPEG, n09193705_413.JPEG, n04456115_489.JPEG, n07873807_312.JPEG, n02281406_348.JPEG, n04133789_375.JPEG, n02769748_55.JPEG, n02963159_413.JPEG"
3cc237a4b700cc03974954b2971ebd6441cc932d,b1cfffe99bb83bcff4be415777f7daea2db9532a,65,"n09193705_339.JPEG, n03617480_149.JPEG, n03838899_499.JPEG, n09193705_413.JPEG, n04456115_489.JPEG, n07873807_312.JPEG, n02281406_348.JPEG, n04133789_375.JPEG, n02769748_55.JPEG, n02963159_413.JPEG"
3cc237a4b700cc03974954b2971ebd6441cc932d,5622df01652698567665659cc3012d21aaa77a63,326,"n09193705_339.JPEG, n03617480_149.JPEG, n03838899_499.JPEG, n09193705_413.JPEG, n04456115_489.JPEG, n07873807_312.JPEG, n02281406_348.JPEG, n04133789_375.JPEG, n02769748_55.JPEG, n02963159_413.JPEG"
0c67cb6a473eda5778550381c1e7daea80bcfa9e,fcf9190c5ede637159952acae37b07f367dd9c2f,225,"n07873807_244.JPEG, n02963159_368.JPEG, n04133789_267.JPEG, n03617480_333.JPEG, n03617480_100.JPEG, n07873807_78.JPEG, n03706229_101.JPEG, n03838899_237.JPEG, n02769748_98.JPEG, n07873807_402.JPEG"
0c67cb6a473eda5778550381c1e7daea80bcfa9e,6ab73a5ac450a6c7dd6c764dd8867cd51c848169,527,"n07873807_244.JPEG, n02963159_368.JPEG, n04133789_267.JPEG, n03617480_333.JPEG, n03617480_100.JPEG, n07873807_78.JPEG, n03706229_101.JPEG, n03838899_237.JPEG, n02769748_98.JPEG, n07873807_402.JPEG"
0c67cb6a473eda5778550381c1e7daea80bcfa9e,53fc7574e98b8e08a48d4f613f8d04d94e4d46af,317,"n07873807_244.JPEG, n02963159_368.JPEG, n04133789_267.JPEG, n03617480_333.JPEG, n03617480_100.JPEG, n07873807_78.JPEG, n03706229_101.JPEG, n03838899_237.JPEG, n02769748_98.JPEG, n07873807_402.JPEG"
ef0cafcea0a1fa8eb98bf3bd1235e87e16d90385,21d49591d313d662413ffb82b457e6878a758671,41,"n02963159_36.JPEG, n07873807_6.JPEG, n03706229_231.JPEG, n07873807_458.JPEG, n03617480_44.JPEG, n03706229_396.JPEG, n04456115_337.JPEG, n04133789_351.JPEG, n04456115_328.JPEG, n03706229_196.JPEG"
ef0cafcea0a1fa8eb98bf3bd1235e87e16d90385,bd3aafc799afb620f88d1037ea78ea7cc8a417e9,74,"n02963159_36.JPEG, n07873807_6.JPEG, n03706229_231.JPEG, n07873807_458.JPEG, n03617480_44.JPEG, n03706229_396.JPEG, n04456115_337.JPEG, n04133789_351.JPEG, n04456115_328.JPEG, n03706229_196.JPEG"
ef0cafcea0a1fa8eb98bf3bd1235e87e16d90385,eb1de028edefa9ec6dac999b0a1c76fbb4dd5bbd,328,"n02963159_36.JPEG, n07873807_6.JPEG, n03706229_231.JPEG, n07873807_458.JPEG, n03617480_44.JPEG, n03706229_396.JPEG, n04456115_337.JPEG, n04133789_351.JPEG, n04456115_328.JPEG, n03706229_196.JPEG"
02d6870aa1c9ffd261ba0fddff7c39851a861b3c,d67a294dddd69075a17ec7ea58560a5f12fe66ad,41,"n04456115_472.JPEG, n09193705_59.JPEG, n04133789_401.JPEG, n03617480_255.JPEG, n03617480_122.JPEG, n04133789_31.JPEG, n04133789_301.JPEG, n09193705_277.JPEG, n03706229_179.JPEG, n02769748_56.JPEG"
02d6870aa1c9ffd261ba0fddff7c39851a861b3c,49355f049649eed0981822ff26205f1b89bf8ab7,229,"n04456115_472.JPEG, n09193705_59.JPEG, n04133789_401.JPEG, n03617480_255.JPEG, n03617480_122.JPEG, n04133789_31.JPEG, n04133789_301.JPEG, n09193705_277.JPEG, n03706229_179.JPEG, n02769748_56.JPEG"
02d6870aa1c9ffd261ba0fddff7c39851a861b3c,b68dc572a05c461054abcaf7ec25393637f9417c,574,"n04456115_472.JPEG, n09193705_59.JPEG, n04133789_401.JPEG, n03617480_255.JPEG, n03617480_122.JPEG, n04133789_31.JPEG, n04133789_301.JPEG, n09193705_277.JPEG, n03706229_179.JPEG, n02769748_56.JPEG"
